Size,US,GB,DE,CH,CY,TH,CZ,SE,AU,CA,AT,IT,BR,SA,MX,LU,ES,PE,TW,FR,TH,FI,SA,MY,BG,SG,IN,AE,BH,RO,SK,GR,DK,KW,NO,LT,NL,QA,AZ,NZ,IS,PL,PK,IL,TR,PT,PH,NC,ID,PA,"B
c)"
Nomad Aluminium Suitcase - Carry-on,82.9,71.79,69.2,99.46,115.38,62,76,84.47,84.44,105,79.14,76.89,168.5,131.45,139,96.92,68.37,202.22,65.27,75.89,56,101,131.45,55.28,82.39,40.86,97.94,89.57,102.56,80.31,77,86.66,83,166,132,74.35,77.23,145.43,104,,,87.27,86.47,143.07,107.86,71.28,50.86,129.1,,165,×
Nomad Aluminium Suitcase - Medium,111.96,96.92,95.21,125.44,159,85.47,113,114,136.41,162,106,103.56,277.26,166.49,182.9,123.07,91.59,265.8,82,102.56,66,135,172.3,72.66,108.71,52.73,183.24,136.75,123,105.93,102.56,118,110,153.84,200.97,,102.56,225.98,154.18,,,,,,,,62.3,,,,×
Nomad Aluminium Suitcase - Large,141,122.22,121.36,161.29,198.38,102.18,135,142,175.38,216.75,132,130,364.44,206,262.79,149.4,128.3,326.15,96.06,128.37,76,163.62,201.23,90.6,135,61.28,165.4,175.38,153.8,130.54,127,143,138,,,,,290.9,,132.76,399.65,,,,,,75.3,,,,×
Nomad Aluminium Suitcase - Carry-on + Large,187.35,157.6,157.6,223,244.61,135,175,190,175.38,217.75,172,170,364.44,250,295.38,185,145.15,408.42,128.2,167.86,90,195,250,103.94,175.35,72.5,175.4,195.38,184.44,170.47,164.27,184,178.46,,,,,,,,,,,432.3,,,81.4,,120.96,,×
